,Name,activity_type,ratings,address,website,contact,Open/Closed,Time
0,Social Club,Social club, 5.0 stars ,"4RMM+9R7, Industrial Area, Andheri West, Mumbai, Maharashtra 400047",[],Not available,Open, ⋅ Closes 1 am
1,Matoshri Arts and Sports Trust,Club, 4.1 stars ,"Meenatai Thackeray Playground, Suprimo Activity Center Matoshri, Jogeshwari - Vikhroli Link Rd, near Bharat Petrol Pump, Andheri East, Mumbai, Maharashtra 400093",[],Not available,Unavailable,Open 24 hours
2,Kids Club live-ly,Club, 4.4 stars ,"Kamla Global Academies, 11th Road, Khar(West), near Madhu Park, Mumbai, Maharashtra 400052",[],Not available,Open, ⋅ Closes 8 pm
3,Sprinters Sports Club,Athletic Sports Club, 4.8 stars ,"University Sports Pavilion, Marine Lines, Mumbai, Maharashtra 400020",['sprinterssportsclub.com'],099699 83381,Closed, ⋅ Opens 5:15 pm
4,The Acres Club,Sports club, 4.2 stars ,"411-B, Hemu Kalani Marg, Chembur, Mumbai-400 071. Maharashtra, Hemu Kalani Marg, Natvar Parikh Chowk, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",['theacresclub.com'],Not available,Open, ⋅ Closes 9 pm
5,The Club Mumbai,Club, 4.7 stars ,"197, Kashibai Mahadev Marg, Shakti Nagar, Shanti Nagar, D.N.Nagar, Andheri West, Mumbai, Maharashtra 400053",['theclubmumbai.com'],Not available,Open, ⋅ Closes 12 am
6,The Hikers Club,Outdoor activity organiser, 4.7 stars ,"1, Anant Chhaya Niwas, J.P.Marg, Ghatla, Chembur, Mumbai, Maharashtra 400071",[],082867 44985,Open, ⋅ Closes 9 pm
7,Raheja Vihar Club House,Social club, 4.1 stars ,"4V9V+3WP, Hillside Cooperative Society, Raheja Vihar, Chandivali, Powai, Mumbai, Maharashtra 400072",['m.facebook.com'],Not available,Open, ⋅ Closes 9 pm
8,Willingdon Sports Club,Sports club, 4.5 stars ,"The willingdon sports club, Arya Nagar, Tulsiwadi, Tardeo, Mumbai, Maharashtra 400034",['willingdonclub.com'],Not available,Open, ⋅ Closes 12 am
9,Mahatma Sports Club,Sports club, 4.5 stars ,"XR8C+F9X, Jehangir Boman Behram Rd, Navjeevan Society, Mumbai Central (E), Dalal Estate, Kamathipura, Mumbai, Maharashtra 400008",[],085180 91378,Unavailable,Unavailable
10,Forest Club,Recreation center, 4.3 stars ,"Cliff Ave, Hiranandani Gardens, Powai, Mumbai, Maharashtra 400076",[],Not available,Open, ⋅ Closes 9 pm
11,Durgamata Sports Club,Sports complex, 4.0 stars ,"2R2X+8MV, Parmanand Wadi, Parel, Mumbai, Maharashtra 400012",[],099301 65917,Unavailable,Unavailable
12,RCF Sports Club,Sports club, 4.4 stars ,"RCF Krida Sankul Sports Complex, RCF Colony, Chembur, Mumbai, Maharashtra 400074",['rcfltd.com'],Not available,Open, ⋅ Closes 10 pm
13,Ashoka Sports Club,Sports club, 3.5 stars ,"12B, GOVINDJI KENY, ROAD, behind NEW B.D.D. NO - 3, Naigaon, Dadar, Mumbai, Maharashtra 400014",[],098700 51644,Unavailable,Unavailable
14,Cams Club,Club, 3.0 stars ,"411, Samrath Vaibhav, Shree Swami Samrath Nagar, Andheri (W, Yamuna Nagar, Jogeshwari West, Mumbai, Maharashtra 400053",[],Not available,Unavailable,Unavailable
15,Club House Lite,Social club, 5.0 stars ,"Bhaji Gali, Hussaini Bagh, Ashadham Colony, Madanpura, Mumbai, Maharashtra 400008",[],Not available,Unavailable,Unavailable
16,C'est La Vie Mumbai,Night club, 3.8 stars ,"164,Hill Road ,(Next to Holy Family Hospital, Hill Rd, Bandra West, Mumbai, Maharashtra 400050",['cestlavie.co.in'],Not available,Open, ⋅ Closes 11 pm
17,Dosti Acres Club,Gym, 4.3 stars ,"1203, Dosti Acres, Antop Hill, Mumbai, Maharashtra 400037",[],Not available,Open, ⋅ Closes 10:30 pm
18,Astro Park - Lions Club,Sports complex, 4.1 stars ,"Lions Municipal Sports Complex, Milan Subway Rd, Santacruz West, Mumbai, Maharashtra 400054",['astrosports.in'],070454 54712,Open, ⋅ Closes 1 am
19,Shri Rajashthan Recreation Club Sanskriti Arts The Complete Family SportsClub,Sports club, 4.5 stars ,"Andheri - Kurla Rd, near metro station, Ajit Nagar, J B Nagar, Andheri East, Mumbai, Maharashtra 400059",[],Not available,Open, ⋅ Closes 10 pm
20,Air India Sports Club,Athletic Sports Club, 4.4 stars ,"vakola, next to chattrapati shivaji international airport",[],Not available,Unavailable,Unavailable
21,Rotary Club of Mumbai Elite,Social services organization, 3.7 stars ,"1202 Solitaire, Orchard Ave, Mumbai, Maharashtra 400076",[],Not available,Unavailable,Unavailable
22,Astro Park - Acres Club,Sports complex, 4.3 stars ,"411-B, Hemu Kalani Marg, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",['astrosports.in'],070454 54711,Open, ⋅ Closes 11 pm
23,"Lions Club Sports Complex, sportinglions academy",Sports complex, 4.0 stars ,"3RRR+9HH, PV Avasare Marg, LIC Colony, Suresh Colony, Vile Parle West, Mumbai, Maharashtra 400056",[],093200 07375,Open, ⋅ Closes 10 pm
24,Xylo sports,Sports club, 3.6 stars ,"Mahakali Caves Rd, Shanti Nagar, Andheri East, Mumbai, Maharashtra 400093",[],Not available,Unavailable,Open 24 hours
25,National Sports Club of India,Sports club, 4.4 stars ,"XRP7+FXW, Lala Lajpatrai Marg, Lotus Colony, Worli, Mumbai, Maharashtra 400018",[],Not available,Open, ⋅ Closes 10:30 pm
26,GSB Sabha Sports Club,Sports club, 4.5 stars ,"Rafi Ahmed Kidwai Marg, Matunga, Mumbai - 400019, near Sndt College",['gsbsabhamumbai.org'],Not available,Unavailable,Unavailable
27,The Andheri Recreation Club,Sports club, 4.3 stars ,"New Dadabhai Rd, opposite Bhavan's College, Gilbert Hill, Andheri West, Mumbai, Maharashtra 400058",['andherirecreationclub.com'],Not available,Open, ⋅ Closes 8 pm
28,Worli Sports Club,Sports complex, 4.1 stars ,"OPEN AIR THEATRE, Adarsh Nagar Rd, MIG Colony, Adarsh Nagar, Prabhadevi, Mumbai, Maharashtra 400025",[],Not available,Closed, ⋅ Opens 7 pm
29,Country Club - Andheri west,Sports club, 4.7 stars ,"country club, near, Veera Desai Rd, Veera Desai Industrial Estate, Andheri West, Mumbai, Maharashtra 400052",['countryclubmembership.co.in'],089761 44266,Open, ⋅ Closes 10 pm
30,Lotus Club,Club, 4.6 stars ,"Lotus Suites, Kondavita Lane, Andheri West, Mumbai, Maharashtra 400058",[],Not available,Unavailable,Unavailable
31,Rotary Club Of Bombay North,Club,No rating available,"1003-04, Atlanta Manor, Western Express Highway, Malad (W), Mumbai, Maharashtra 400097",[],Not available,Unavailable,Unavailable
32,Mominpura Sports Club,Sports Association, 4.0 stars ,"2, Ganesh Hari Parundekar Rd, Municipal Colony, Byculla West, Agripada, Mumbai, Maharashtra 400011",[],Not available,Unavailable,Unavailable
33,Funday Sports - Mumbai,Sports club, 3.7 stars ,"3rd Floor, Podium Parking, Lake Homes Rd, next to Lake Club, Powai, Mumbai, Maharashtra 400076",['fundaysports.in'],Not available,Closed, ⋅ Opens 5:30 pm
34,Wadala Sports Club,Sports club, 4.5 stars ,"Plot No 21, 6, Rafi Ahmed Kidwai Rd, next to Uganda Petrol Pump, Wadala West, Wadala, Mumbai, Maharashtra 400031","['facebook.com', 'wadalasportsclub.com']",Not available,Open, ⋅ Closes 11:30 pm
35,CAMPUS CLUB OF INDIA,Club,No rating available,"Office No.4, Ganga Vihar Building, near Gokul Hotel, Borivali West, Mumbai, Maharashtra 400092",['campusclubofindia.org'],Not available,Unavailable,Unavailable
