,Name,activity_type,ratings,address,website,contact,Open/Closed,Time
0,Water Kingdom,Water park, 4.3 stars ,"Global Pagoda Road, Essel world Amusement Park, Borivali West, Mumbai, Maharashtra 400092","['waterkingdom.in', 'waterkingdom.in']",Not available,Open, ⋅ Closes 6 pm
1,Snow World,Indoor snowcenter, 4.2 stars ,"Lower Ground Level 58 - 61, Phoenix Market City, Kamani Junction Kurla (W), Between Atrium 2 & 6, 15, Lal Bahadur Shastri Rd, Kamani, Jn, Mumbai, Maharashtra 400070","['snowworldindia.com', 'snowworldmumbai.com']",Not available,Open, ⋅ Closes 9 pm
2,Rainbow,Amusement park ride, 4.3 stars ,"6RJ4+WFX, Essel world Amusement Park, Gorai, Mumbai, Maharashtra 400092",['esselworld.in'],Not available,Open, ⋅ Closes 8 pm
3,Royal palm adventure park,Adventure sports, 3.0 stars ,"4VXR+55G, Royal Palms Estate, Aarey Colony, Goregaon, Mumbai, Maharashtra 400065",[],Not available,Open, ⋅ Closes 5 pm
4,Snow Kingdom (Mumbai),Indoor snowcenter, 4.7 stars ,"R City Mall, Lal Bahadur Shastri Rd, Amrut Nagar, Ghatkopar West, Mumbai, Maharashtra 400086",['snowkingdom.com'],073822 22222,Open, ⋅ Closes 9 pm
5,KidZania Mumbai,Children's amusement center, 4.4 stars ,"R City Mall, 3rd Floor North Wing, Lal Bahadur Shastri Rd, Amrut Nagar, Ghatkopar West, Mumbai, Maharashtra 400086",['india.kidzania.com'],089064 44666,Open, ⋅ Closes 9 pm
6,Shot N Drop,Amusement park ride, 4.5 stars ,"6RJ4+6R9, Essel world Amusement Park, Gorai, Borivali (West), Mumbai, Maharashtra 400092",['esselworld.in'],Not available,Open, ⋅ Closes 7 pm
7,Children traffic training park,Park, 4.2 stars ,"WRGH+8QC, Madame Cama Rd, Dr Ambedkar Statue Chowk Area, Colaba, Mumbai, Maharashtra 400001",[],Not available,Open, ⋅ Closes 7 pm
8,Hoola Loop,Amusement park ride, 4.3 stars ,"6RM4+58V, Essel world Amusement Park, Gorai, Mumbai, Maharashtra 400092",['esselworld.in'],Not available,Open, ⋅ Closes 6 pm
9,Top Spin,Amusement park ride, 4.4 stars ,"6RJ4+55F, Essel world Amusement Park, Gorai, Mumbai, Maharashtra 400092",['esselworld.in'],Not available,Open, ⋅ Closes 6 pm
10,What-A-Coaster,Amusement park ride, 4.7 stars ,"6RJ4+CRH, Unnamed Road, Essel world Amusement Park, Gorai, Mumbai, Maharashtra 400092",[],Not available,Unavailable,Unavailable
11,Sector No 3 Musical Theme Park,Garden, 4.2 stars ,"Omkareshwar Mandir Galli, West, 36, RSC Rd Number 30, RDP 7, Charkop Sector 3, Kandivali West, Mumbai, Maharashtra 400067",[],Not available,Closed, ⋅ Opens 5 pm
12,Children's Park,Playground, 4.6 stars ,"Children's Park, New India Co-op Society, JVPD Scheme, Juhu, Mumbai-400049.",[],Not available,Closed, ⋅ Opens 4 pm
13,Aqua Dive,Amusement park ride, 4.2 stars ,"6RJ4+4F7, Essel World Jetty Walkway, Essel world Amusement Park, Gorai, Mumbai, Maharashtra 400092",[],Not available,Unavailable,Unavailable
14,KALICHAUDAS ADVENTURE PARK,Adventure Sports Center,No rating available,"63, Veera Desai Industrial Estate Rd, Veera Desai Industrial Estate, Andheri West, Mumbai, Maharashtra 400053",[],Not available,Unavailable,Unavailable
15,BOUNCE Inc Mumbai,Theme park, 4.5 stars ,"4th, Infiniti Mall Malad, New Link Rd, Malad, Mindspace, Malad West, Mumbai, Maharashtra 400064",['bounceinc.in'],Not available,Open, ⋅ Closes 10 pm
16,SMAAASH UTOPIA CITY,Amusement center, 4.3 stars ,"Gate No 4, Trade View Building, Utopia City, Pandurang Budhkar Marg, Lower Parel, Mumbai, Maharashtra 400013",['smaaash.in'],099303 32525,Closed, ⋅ Opens 1 pm
17,GRides Fun Factories,Amusement park ride, 5.0 stars ,"22 Mitra Kunj, 16, Pedder Rd, Mumbai, Maharashtra 400026",['grides.in'],Not available,Open, ⋅ Closes 7 pm
18,Suraj Water Park,Water park, 3.8 stars ,"MH SH 42, Dongripada, Thane West, Thane, Maharashtra 400615",['surajwaterpark.com'],Not available,Open, ⋅ Closes 6 pm
19,Tortoise Amusement Park Navi Mumbai,Amusement park, 4.0 stars ,"180, Ram Mandir Rd, Kopripada, Sector 26, Vashi, Navi Mumbai, Maharashtra 400703",[],Not available,Open, ⋅ Closes 9 pm
20,Wetlantic Wave Pool,Amusement park ride, 4.3 stars ,"6RJ4+PPP, Water Kingdom Theme Park, Gorai, Mumbai, Maharashtra 400092",[],Not available,Unavailable,Open 24 hours
21,Chinchavle Garden,Theme park, 4.1 stars ,"4XXW+JG4, Sector 5, Airoli, Navi Mumbai, Maharashtra 400708",[],Not available,Open, ⋅ Closes 9 pm
22,Woop Mumbai: India's Most Favourite Game Zone,Amusement center, 4.5 stars ,"Shreyas Industrial Estate, B - 62, SR 41A, 1st Floor, Off New Link Rd, next to Mongines cake factory, Andheri West, Mumbai, Maharashtra 400053",['woopindia.com'],070090 90940,Open, ⋅ Closes 11 pm
23,Wildpaw Adventures,Wildlife and safari park, 1.0 stars ,"Parshiwada, Kajuwadi, Chakala, Andheri East, Mumbai, Maharashtra 400053",['gupteshwarmahadev.com'],097696 51849,Unavailable,Unavailable
24,Caterpiller,Amusement park ride, 4.0 stars ,"6RM3+CR6, Essel world Amusement Park, Gorai, Mumbai, Maharashtra 400092",['esselworld.in'],Not available,Open, ⋅ Closes 6 pm
25,Amusement Park qayum,Amusement ride supplier, 3.0 stars ,Send to your phone,[],Not available,Unavailable,Unavailable
26,Vardhman Fantasy,Amusement park, 3.9 stars ,"Shivar Garden, Mira Road East, Mira Bhayandar, Maharashtra 401107",[],Not available,Open, ⋅ Closes 8 pm
27,Palms 1 kids park,Park,No rating available,"5V3P+96X, Royal Palms, Aarey Colony, Goregaon, Mumbai, Maharashtra 400065",[],Not available,Open, ⋅ Closes 8 pm
