,Name,activity_type,ratings,address,website,contact,Open/Closed,Time
0,Prithvi Cafe,Cafe, 4.4 stars ,"20, Janki Kutir Apartment, Alongside Prithvi Theatre, Juhu Church Rd, Mumbai, Maharashtra 400049",['swiggy.com'],070459 40218,Open, ⋅ Closes 10:30 pm
1,Boojee Cafe,Cafe, 4.6 stars ,"Shop No 6, New kantwadi, Off, Perry Cross Rd, Bandra West, Mumbai, Maharashtra 400050","['thrivenow.in', 'thrivenow.in']",099302 03882,Open, ⋅ Closes 10:30 pm
2,Kala Ghoda Cafe,Cafe, 4.4 stars ,"10, Rope Walk Ln, Kala Ghoda, Fort, Mumbai, Maharashtra 400001","['kalaghodacafe.petpooja.com', 'kgcafe.in']",098338 03418,Unavailable,Unavailable
3,Leaping Windows,Coffee shop, 4.6 stars ,"Corner View, 3, Dr.Ashok Chopra Marg, Opp. Bianca Towers, Amit Nagar, Versova, Andheri West, Mumbai, Maharashtra 400061","['swiggy.com', 'leapingwindows.com']",097699 98972,Closed, ⋅ Opens 12 pm
4,Cococart & CocoCafe,Cafe, 4.4 stars ,"Jiji House, Raveline Street Damodar Sukhadwala Marg, 17, D Sukhadwala Rd, Azad Maidan, Fort, Mumbai, Maharashtra 400001","['dineout.co.in', 'swiggy.com', 'cococart.in']",072088 26812,Open, ⋅ Closes 11 pm
5,Cafe Reed Mumbai,Cafe, 4.7 stars ,"8th Floor, Tower 2A, One World Center, Lower Parel, Mumbai, Maharashtra 400013",[],072088 26812,Unavailable,Unavailable
6,The Hastrm Cafe,Cafe, 5.0 stars ,"Opposit Dmart ready, Shop no:7,Idgah road,near wadia school, Andheri West, Mumbai, Maharashtra 400053",['swiggy.com'],073046 67487,Open, ⋅ Closes 10 pm
7,Earth Cafe @ Waterfield,Cafe, 4.6 stars ,"Durga Chambers, Waterfield Road, above Pernia's Pop Up MEN, Bandra West, Mumbai, Maharashtra 400050","['eazydiner.com', 'swiggy.com', 'zomato.com', 'earthcafeindia.com']",098198 28989,Open, ⋅ Closes 11 pm
8,"Grandmama's Cafe, Dadar East",Cafe, 4.2 stars ,"Dharamputra Pritam Estate, 20 & 21, Dr Baba Saheb Ambedkar Rd, Dadar East, Dadar, Mumbai, Maharashtra 400014","['dineout.co.in', 'grandmamascafe.com']",085910 75473,Closed, ⋅ Opens 12 pm
9,Garde Manger Cafe and BAKERY,Health food restaurant, 4.3 stars ,"Shop No 1 , Parmar Housing Society Paranjape B Scheme, Rd Number 1, beside Natural Ice Cream, Vile Parle East, Mumbai, Maharashtra 400057","['swiggy.com', 'zomato.com', 'instagram.com']",070450 04488,Unavailable,Unavailable
10,Leopold Cafe,Cafe, 4.2 stars ,"Police Station, Shahid Bhagat Singh Road, Colaba Causeway, near Colaba, Mumbai, Maharashtra 400001","['dineout.co.in', 'swiggy.com']",070450 04488,Open, ⋅ Closes 12 am
11,Cafe Universal,Cafe, 4.2 stars ,"299, Shahid Bhagat Singh Rd, opp. Geo Chem Laboratories, Ballard Estate, Fort, Mumbai, Maharashtra 400001",['swiggy.com'],070450 04488,Open, ⋅ Closes 11 pm
12,Pachinco - Cafe & More,Cafe, 4.4 stars ,"Ground Floor, Crescent Royale, Veera Desai Road, off link road Behind Crescent Tower, Andheri West, Mumbai, Maharashtra 400053","['dineout.co.in', 'swiggy.com']",088796 45670,Open, ⋅ Closes 11:30 pm
13,Le Cafe,Cafe, 4.4 stars ,"Jewel of chembur, 1st Road, Opp Bmc OFFice, Near Natraj Cinema, Chembur Gaothan, Chembur, Maharashtra 400071","['dineout.co.in', 'zomato.com']",088796 45670,Unavailable,Unavailable
