,Name,activity_type,ratings,address,website,contact,Open/Closed,Time
0,Club Illusions,Night club, 4.3 stars ,"2nd Floor, B37, Ambika Acropolis, Off New Link Rd, adjacent to Oberoi Springs, Veera Desai Industrial Estate, Andheri West, Mumbai, Maharashtra 400053","['dineout.co.in', 'airmenus.in']",082918 80444,Closed, ⋅ Opens 6 pm
1,Matahaari,Night club, 4.4 stars ,"Matahaari night club, Level IV, Atria-The Millennium Mall, Dr Annie Besant Rd, Lotus Colony, Worli, Mumbai, Maharashtra 400018",['facebook.com'],099679 66993,Unavailable,Unavailable
2,Club Pandora,Night club, 4.3 stars ,"1st Road, &, Swami Vivekananda Rd, Junction, Mumbai, Maharashtra 400052",['clubpandora.com'],098200 01846,Closed, ⋅ Opens 8 pm
3,Kitty Su Mumbai,Night club, 4.1 stars ,"Ground Floor The LaLit Mumbai, Airport Rd, Navpada, Marol, Andheri East, Mumbai, Maharashtra 400059",['kittysu.com'],077770 52330,Closed, ⋅ Opens 9 pm
4,Drop,Night club, 4.1 stars ,"No.G1/B, Krystal Building, Below Hakkasan, Waterfield Road, Bandra West, Mumbai, Maharashtra 400050",[],077770 52330,Closed, ⋅ Opens 10 pm
5,Rock Bottom,Disco club, 3.7 stars ,"Ramee Guestline Hotel, 462, AB Nair Rd, Juhu, Mumbai, Maharashtra 400049",[],077770 52330,Open, ⋅ Closes 4 am
6,Club Sirkus,Night club, 3.8 stars ,"3VV3+XJG, Hotel Sahara Star Service Road Chhatrapati Shivaji International Airport Area, Vile Parle East, Mumbai, Maharashtra 400099",[],077770 52330,Closed, ⋅ Opens 10 pm
7,Gravity Nightclub,Night club, 5.0 stars ,"969, Juhu Tara Rd, Airport Area, Juhu, Mumbai, Maharashtra 400049",[],077770 52330,Closed, ⋅ Opens 10 pm
8,Clubhouse,Night club, 3.8 stars ,"A-11, Gokuldham Society, Krishna Nagar, Sathi D Souza Nagar, Saki Naka, Mumbai, Maharashtra 400072",[],077770 52330,Unavailable,Unavailable
9,Throb Club,Disco club, 4.2 stars ,"3RCP+7XF, Swami Vivekananda Rd, Khar, Ram Krishna Nagar, Khar West, Mumbai, Maharashtra 400052",[],077770 52330,Closed, ⋅ Opens 2 pm
10,The 4am Club,Night club, 5.0 stars ,"4V3X+85P, Subhash Nagar, Mohili, Asalpha, Mumbai, Maharashtra 400089",[],077770 52330,Open, ⋅ Closes 8 pm
11,Mansion at Sahara Star,Night club, 4.4 stars ,"Ground Floor, Sahara Star Hotel, Nehru Rd, opposite Terminal 1, Vile Parle East, Mumbai, Maharashtra 400099",[],097693 20899,Closed, ⋅ Opens 8 pm
12,Toy Room Mumbai,Night club, 3.4 stars ,"Grand Hyatt Hotel, off Western Express Highway, Santacruz East, Mumbai, Maharashtra 400055","['zomato.com', 'toyroomclub.in']",087509 39495,Unavailable,Unavailable
13,Mumbai Club,Night club, 4.6 stars ,"4V79+FVX, Bhim Nagar, Andheri East, Andheri, Maharashtra 400053",['theclubmumbai.com'],087509 39495,Unavailable,Unavailable
14,HORSE CLUB,Disco club, 5.0 stars ,"Basant Vihar Commercial Complex, Kolwada Borla Rd, Wadavli, Gulab Park Colony, Vasant Vihar Complex, Chembur, Mumbai, Maharashtra 400071",[],087509 39495,Closed, ⋅ Opens 12 pm
15,Tryst Mumbai,Bar, 3.9 stars ,"462, Senapati Bapat Marg, Lower Parel, Mumbai, Maharashtra 400013",[],073044 33390,Closed, ⋅ Opens 10 pm
16,Marathi Club,Night club, 3.0 stars ,"2, Bimji Rd, Anjeer Wadi, Thakkar Estate, Byculla, Mumbai, Maharashtra 400010",[],084220 78121,Unavailable,Unavailable
17,"Club Iguana, Andheri",Night club, 3.6 stars ,"2nd Floor, Link Plaza Commercial Complex, Gopi Chamber, Road, opposite Kalyan Jewellers, Andheri West, Mumbai, Maharashtra 400053",['instagram.com'],084220 78121,Closed, ⋅ Opens 12 pm
18,Club Bombay At Sheesha Sky Lounge,Lounge, 4.1 stars ,"A B Nair Road, near Horizon Hotel, opposite Juhu Church, Juhu, Mumbai, Maharashtra 400049","['zomato.com', 'sheeshaskylounge.in']",084220 78121,Unavailable,Open 24 hours
19,Beryl Club,Lounge, 4.0 stars ,"Ground Floor, Kohinoor Continental, Andheri - Kurla Rd, J.B. Nagar, Mumbai, Maharashtra 400059",['hotelkohinoorcontinental.com'],084220 78121,Closed, ⋅ Opens 11 am
20,The Council,Night club, 4.5 stars ,"Sahjivan Building, St Theresa Rd, above Starbucks Coffee, Khar West, Mumbai, Maharashtra 400052",[],084220 78121,Unavailable,Open 24 hours
21,"Tht Comedy club, Mumbai",Night club,No rating available,"3R7H+PRQ, Pali Rd, Bandra West, Mumbai, Maharashtra 400050",[],084220 78121,Closed, ⋅ Opens 12 pm
22,MAD Club & Lounge,Night club, 5.0 stars ,"5th Floor, Crystal Point Mall, New Link Rd, above Star Bazaar, Sahayog Nagar, Bhudargarh Colony, Andheri West, Mumbai, Maharashtra 400053",[],084220 78121,Closed, ⋅ Opens 7 pm
23,@99 bollywood Bar ( all drinks for ₹99 ),Disco club, 3.8 stars ,"Evergreen Building, Guru Govind Singh Road, next to Khar, Khar, Ram Krishna Nagar, Station West, Mumbai, Maharashtra 400052",[],093209 99320,Closed, ⋅ Opens 6 pm
24,SLP Night Club,Night club, 5.0 stars ,"3VGH+93R, Lower Parel, Friends Colony, Kurla West, Kurla, Mumbai, Maharashtra 400070",[],093209 99320,Unavailable,Unavailable
25,Traffic Pub,Disco club, 2.9 stars ,"23, Opposite State Bank Of India, Bombay Samachar Marg, Fort, Mumbai - 400001 near Bse, 400001",[],093209 99320,Open, ⋅ Closes 3 am
26,Rohit Nightclub,Disco club, 3.4 stars ,"2VV4+W22, Dharavi, Mumbai, Maharashtra 400017",[],093209 99320,Unavailable,Unavailable
27,Dragonfly Experience Mumbai,Restaurant, 4.3 stars ,"4V2H+V5X, The Orb, Next to J.W, Marriott Sahar, Andheri (E, Maharashtra 400088","['dineout.co.in', 'dragonflyexperience.in']",086575 98230,Closed, ⋅ Opens 7 pm
28,Matteos,Night club, 4.0 stars ,"C Wing, Trade World Kamala Mills Compound, Tulsi Pipe Rd, Lower Parel, W, Maharashtra 400013",[],086575 98230,Unavailable,Unavailable
29,HPNW Club,Club, 4.1 stars ,"2VHV+972, Duleep Singh Marg, HP Nagar West, Chembur, Mumbai, Maharashtra 400074",[],086575 98230,Unavailable,Unavailable
30,Fame-O-Shahpuri,Night club, 1.0 stars ,"8, Ratan House, 12, Tribhuvan Road, Tribhuvan Road, Mumbai, Maharashtra 400004",[],086575 98230,Unavailable,Open 24 hours
31,male model fashion club,Night club,No rating available,"123,, Sab T V - Kalinga Ln, Shastri Nagar, Andheri West, Mumbai, Maharashtra",[],086575 98230,Unavailable,Unavailable
