,Name,image_link,tickets_url,start_date,start_time,end_date,end_time,venue,address_1,address_2,organizer,organizer_url,url
0,Free Career Empowerment & Meditation Class - Mumbai,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F355757199%2F572555648333%2F1%2Foriginal.20220916-140501?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=4557572ea790d750fa4213c70104244b,https://www.eventbrite.com/checkout-external?eid=556648660127,2023-06-10,06:00,2023-06-10,07:00,Online via Zoom,See Confirmation Email for Zoom Link,,Become Butterfly,https://www.eventbrite.com/o/become-butterfly-34346634153,https://www.eventbrite.com/e/free-career-empowerment-meditation-class-mumbai-tickets-556648660127
1,How to debug and enhance existing code with ChatGPT,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F532644039%2F1597905202333%2F1%2Foriginal.20230609-091655?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C187%2C6000%2C3000&s=ffc526bec8ae0b9d7c825351defd3e44,https://www.eventbrite.com/checkout-external?eid=654757355877,2023-07-29,10:30,2023-07-29,11:30,Parkar Digital,Balkrishna Sakharam Dhole Patil Road,,Parkar Digital,https://www.eventbrite.com/o/parkar-digital-67071455533,https://www.eventbrite.com/e/how-to-debug-and-enhance-existing-code-with-chatgpt-tickets-654757355877
2,Tree Plantation & Restoration Drive,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F525839049%2F1297865715663%2F1%2Foriginal.20230531-060755?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C10%2C1316%2C658&s=7ed576ef94dbfede31696508234f90d0,https://www.eventbrite.com/checkout-external?eid=638521052657,2023-06-11,07:30,2023-06-11,10:30,Picnic Point Garden,Aarey Road,#Unit 25,ConnectFor,https://www.eventbrite.com/o/connectfor-57764741393,https://www.eventbrite.com/e/tree-plantation-restoration-drive-tickets-638521052657
3,Harmonise Your Life: Lessons from Music,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F474911269%2F213611455990%2F1%2Foriginal.20230322-094735?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C183%2C1748%2C874&s=5e12779c16e71b9e0551b71397bcae73,https://www.eventbrite.com/checkout-external?eid=596641459667,2023-06-24,18:00,2023-06-24,20:00,New Acropolis Cultural Organization,Shahid Bhagat Singh Road,,New Acropolis India ,https://www.eventbrite.com/o/new-acropolis-india-30948762389,https://www.eventbrite.com/e/harmonise-your-life-lessons-from-music-tickets-596641459667
4,AfterClass with BeMasterly,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F531953059%2F1581563827873%2F1%2Foriginal.20230608-131718?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=0741bc2f3def933ef5dd584efabbb107,https://www.eventbrite.com/checkout-external?eid=646820175557,2023-06-16,18:30,2023-06-16,22:00,Courtyard by Marriott Nashik,Mumbai - Agra National Highway,,BeMasterly - A Navneet Initiative,https://www.eventbrite.com/o/bemasterly-a-navneet-initiative-66625737193,https://www.eventbrite.com/e/afterclass-with-bemasterly-tickets-646820175557
5,Investing in Innovation - Online Webinar,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F524449059%2F326000112825%2F1%2Foriginal.20230529-102420?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=fe4e17d7a54056b383669356bcadec4e,https://www.eventbrite.com/checkout-external?eid=645898859877,2023-06-13,16:00,2023-06-13,17:15,Online Webinar Mumbai,Mumbai,,The Atlantic Society - Private Member's Group,https://www.eventbrite.co.uk/o/the-atlantic-society-private-members-group-26229658289,https://www.eventbrite.co.uk/e/investing-in-innovation-online-webinar-tickets-645898859877
6,18th National Terapanth Kishore Mandal Adhiveshan 2023 - Mumbai,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F529993599%2F1591743822483%2F1%2Foriginal.20230606-071232?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C1499%2C2160%2C1080&s=a30a40c1c69a1746c29c7bddb7f7608b,https://www.eventbrite.com/checkout-external?eid=651585970177,2023-07-28,06:00,2023-07-30,20:00,Hotel Sea N Rock,Western Express Highway,,TKM AXIS,https://www.eventbrite.com/o/tkm-axis-66898573773,https://www.eventbrite.com/e/18th-national-terapanth-kishore-mandal-adhiveshan-2023-mumbai-tickets-651585970177
7,Mumbai Startup Meetup,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F528524549%2F3865663544%2F1%2Foriginal.20230603-181848?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C83%2C1600%2C800&s=e35aaf2dcb0730c3f6f3b992ab004661,https://www.eventbrite.com/checkout-external?eid=649782816897,2023-06-10,11:00,2023-06-10,13:00,DevX,Andheri - Kurla Road,,eChai Mumbai Startup Network,https://www.eventbrite.com/o/echai-mumbai-startup-network-26547370817,https://www.eventbrite.com/e/mumbai-startup-meetup-tickets-649782816897
8,"I want spiritual awakening, just not alone in Pune! 21 Day Meditation",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F524094009%2F647919780083%2F1%2Foriginal.20230522-173858?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C52%2C800%2C400&s=a8940a3c35dd314517474e94a0b98065,https://www.eventbrite.com/checkout-external?eid=644850454067,2023-08-05,16:15,2023-08-05,17:15,Online-Zoom,Zoom link emailed & displayed after registration,,Spiritual Awakening Just Not Alone Meditation,https://www.eventbrite.com.au/o/spiritual-awakening-just-not-alone-meditation-61314124363,https://www.eventbrite.com.au/e/i-want-spiritual-awakening-just-not-alone-in-pune-21-day-meditation-tickets-644850454067
9,Sustainable Investing: Aligning Profit with Purpose! - Online Webinar,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F525945819%2F326000112825%2F1%2Foriginal.20230531-102451?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=7adcd5e18be77daf51025e616ee2183a,https://www.eventbrite.com/checkout-external?eid=646922080357,2023-07-11,16:00,2023-07-11,17:15,Online Webinar Mumbai,Mumbai,,The Atlantic Society - Private Member's Group,https://www.eventbrite.co.uk/o/the-atlantic-society-private-members-group-26229658289,https://www.eventbrite.co.uk/e/sustainable-investing-aligning-profit-with-purpose-online-webinar-tickets-646922080357
