,Name,image_link,tickets_url,start_date,start_time,end_date,end_time,venue,address_1,address_2,organizer,organizer_url,url
0,Money Expo India 2023,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F444862499%2F1394200320313%2F1%2Foriginal.20230213-054456?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1200%2C600&s=5f077de2efa38fca69811aecdec575cd,https://www.eventbrite.com/checkout-external?eid=545740904737,2023-08-12,10:00,2023-08-13,18:00,Jio World Convention Centre,"G Block, Bandra Kurla Complex","Bandra East, Mumbai, Maharashtra",Trasol Events,https://www.eventbrite.com/o/trasol-events-60774281733,https://www.eventbrite.com/e/money-expo-india-2023-tickets-545740904737
1,Mumbai Startup Meetup,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F528524549%2F3865663544%2F1%2Foriginal.20230603-181848?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C83%2C1600%2C800&s=e35aaf2dcb0730c3f6f3b992ab004661,https://www.eventbrite.com/checkout-external?eid=649782816897,2023-06-10,11:00,2023-06-10,13:00,DevX,Andheri - Kurla Road,,eChai Mumbai Startup Network,https://www.eventbrite.com/o/echai-mumbai-startup-network-26547370817,https://www.eventbrite.com/e/mumbai-startup-meetup-tickets-649782816897
2,"ICAI Startup SPhere on 27-28th June, 2023 at Jio World Centre, BKC, Mumbai",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F531726769%2F1567439162513%2F1%2Foriginal.20230608-041847?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=377%2C0%2C800%2C400&s=85aead337999b9bb34ef59e43cd737ab,https://www.eventbrite.com/checkout-external?eid=640477614787,2023-06-27,10:00,2023-06-28,18:00,Jio World Convention Centre,Jio World Convention Centre,"World Jio Centre, Bandra Kurla Complex (BKC), Bandra (East) Mumbai",ICAI,https://www.eventbrite.sg/o/icai-66232352643,https://www.eventbrite.sg/e/icai-startup-sphere-on-27-28th-june-2023-at-jio-world-centre-bkc-mumbai-tickets-640477614787
3,SCPC-Henkel dx Hackathon 2023,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F523912229%2F1078559966703%2F1%2Foriginal.20230527-175016?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2480%2C1240&s=f90d91b5b992bbb7e73984c09d7d92c4,https://www.eventbrite.com/checkout-external?eid=644419214217,2023-06-23,08:30,2023-06-23,13:00,S. P. Jain Institute of Management and Research,"Andheri West,",,SCPC & Henkel dx,https://www.eventbrite.com/o/scpc-amp-henkel-dx-66496146363,https://www.eventbrite.com/e/scpc-henkel-dx-hackathon-2023-tickets-644419214217
4,"Fashion Affair | 16 - 17 June [ Hotel Tulip Star, Juhu, Mumbai ]",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F514800139%2F301698109321%2F1%2Foriginal.20230515-111858?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1920%2C960&s=f5179050de6186b88f3f95785225ec23,https://www.eventbrite.com/checkout-external?eid=636461803387,2023-06-16,11:00,2023-06-17,20:00,Tulip Star Hotel,23-B Vaikunthlal Mehta Road,,Affairs Events & Exhibitions,https://www.eventbrite.com/o/affairs-events-amp-exhibitions-19973012211,https://www.eventbrite.com/e/fashion-affair-16-17-june-hotel-tulip-star-juhu-mumbai-tickets-636461803387
5,100 Successful Women in Business Convention & Awards Mumbai-India,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F468159759%2F284564926733%2F1%2Foriginal.20230314-012503?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=669c807fb70fd479e988a9b899a028ae,https://www.eventbrite.com/checkout-external?eid=483980748447,2023-12-06,10:00,2023-12-10,18:00,India,111,,Global Trade Chamber,https://www.eventbrite.com/o/global-trade-chamber-18291590073,https://www.eventbrite.com/e/100-successful-women-in-business-convention-awards-mumbai-india-tickets-483980748447
6,Sailors' Cafe OpenMic Mondays,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F204477909%2F748871147423%2F1%2Foriginal.20211224-055644?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C539%2C1080%2C540&s=e32ebc474a602514cdc4ff3ba3cfc035,https://www.eventbrite.com/checkout-external?eid=488371220467,2023-06-12,20:00,2023-06-12,22:00,Sailors' Cafe,Shop 9 Bellevista CHS Sector 15 Belapur,,Sailors' Cafe,https://www.eventbrite.com/o/sailors-cafe-39373880253,https://www.eventbrite.com/e/sailors-cafe-openmic-mondays-tickets-488371220467
7,Maharashtra Moving Forward: Fifteen Legal Reforms for the State,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F524429539%2F1578622541993%2F1%2Foriginal.20230529-092358?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1370%2C685&s=959acc98d1850750059efe1fdc297cab,https://www.eventbrite.com/checkout-external?eid=645200370677,2023-06-09,17:00,2023-06-09,19:30,Yashwantrao Chavan Centre.,7/8 General Jagannath Bhosle Road,,Vidhi Centre for Legal Policy,https://www.eventbrite.com/o/vidhi-centre-for-legal-policy-66534905793,https://www.eventbrite.com/e/maharashtra-moving-forward-fifteen-legal-reforms-for-the-state-tickets-645200370677
8,"ICAI Startup SPhere on 27-28th June, 2023 at Jio World Centre, Mumbai",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F524991939%2F1567439162513%2F1%2Foriginal.20230530-083945?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C736%2C3000%2C1500&s=cd8258f277e4ffa2bcf2a7618316deed,https://www.eventbrite.com/checkout-external?eid=642006327207,2023-06-27,10:00,2023-06-28,18:00,Jio World Convention Centre,Jio World Convention Centre,"World Jio Centre, Bandra Kurla Complex (BKC), Bandra (East) Mumbai",ICAI,https://www.eventbrite.sg/o/icai-66232352643,https://www.eventbrite.sg/e/icai-startup-sphere-on-27-28th-june-2023-at-jio-world-centre-mumbai-tickets-642006327207
9,Unveiling the Latest Trends in Fashion: Join Us at Fashion Affair Expo,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F506641689%2F301698109321%2F1%2Foriginal.20230503-141820?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C23%2C1922%2C961&s=2e284985080820cf33086ff10741bfdf,https://www.eventbrite.com/checkout-external?eid=630080005257,2023-06-09,11:00,2023-06-11,19:00,World Trade Center Mumbai,World Trade Center,Cuffe Parade,Affairs Events & Exhibitions,https://www.eventbrite.com/o/affairs-events-amp-exhibitions-19973012211,https://www.eventbrite.com/e/unveiling-the-latest-trends-in-fashion-join-us-at-fashion-affair-expo-tickets-630080005257
