,Name,activity_type,ratings,address,website,contact,Open/Closed,Time
0,Red Carpet Wax Museum,Tourist attraction, 4.6 stars ,"R City Mall, 1, Lal Bahadur Shastri Rd, Amrut Nagar, Ghatkopar West, Mumbai, Maharashtra 400086",[],Not available,Open, ⋅ Closes 6 pm
1,Gateway Of India Mumbai,Historical place, 4.6 stars ,"Apollo Bandar, Colaba, Mumbai, Maharashtra 400001",['mumbaicity.gov.in'],Not available,Unavailable,Unavailable
2,Snow Kingdom (Mumbai),Indoor snowcenter, 4.7 stars ,"R City Mall, Lal Bahadur Shastri Rd, Amrut Nagar, Ghatkopar West, Mumbai, Maharashtra 400086",['snowkingdom.com'],073822 22222,Open, ⋅ Closes 9 pm
3,Snow World,Indoor snowcenter, 4.2 stars ,"Lower Ground Level 58 - 61, Phoenix Market City, Kamani Junction Kurla (W), Between Atrium 2 & 6, 15, Lal Bahadur Shastri Rd, Kamani, Jn, Mumbai, Maharashtra 400070","['snowworldindia.com', 'snowworldmumbai.com']",Not available,Open, ⋅ Closes 9 pm
4,KidZania Mumbai,Children's amusement center, 4.4 stars ,"R City Mall, 3rd Floor North Wing, Lal Bahadur Shastri Rd, Amrut Nagar, Ghatkopar West, Mumbai, Maharashtra 400086",['india.kidzania.com'],089064 44666,Open, ⋅ Closes 9 pm
5,Water Kingdom,Water park, 4.3 stars ,"Global Pagoda Road, Essel world Amusement Park, Borivali West, Mumbai, Maharashtra 400092","['waterkingdom.in', 'waterkingdom.in']",Not available,Open, ⋅ Closes 6 pm
6,Chhota Kashmir Park.,Tourist attraction, 3.8 stars ,"5V6F+V65, Mali Nagar, Aarey Colony, Goregaon, Mumbai, Maharashtra 400065",[],Not available,Open, ⋅ Closes 6 pm
7,Dhobi Ghat,Tourist attraction, 4.2 stars ,"1, Anandilal P Marg, Dhobi Ghat, Shanti Nagar, Lower Parel, Mumbai, Maharashtra 400011",[],Not available,Open, ⋅ Closes 8 pm
8,Nehru planetarium,Planetarium, 4.4 stars ,"Nehru Centre, Dr Annie Besant Rd, Lotus Colony, Worli, Mumbai, Maharashtra 400018",['nehru-centre.org'],Not available,Open, ⋅ Closes 5 pm
9,Kanheri Caves,Historical place, 4.5 stars ,"Mumbai, Maharashtra 400101",[],Not available,Open, ⋅ Closes 5 pm
10,Hanging Gardens,Park, 4.2 stars ,"Ridge Rd, Simla Nagar, Malabar Hill, Mumbai, Maharashtra 400006",[],Not available,Unavailable,Open 24 hours
11,Bandra Fort,Fortress, 4.4 stars ,"2RR9+Q85, Byramji Jeejeebhoy Road, Bandstand Road, Mumbai, Maharashtra 400050",[],Not available,Open, ⋅ Closes 6:30 pm
12,"Fountain of Joy, Dhirubhai Ambani Square",Tourist attraction, 4.7 stars ,"Jio World Centre, G Block, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400098",['jioworldcentre.com'],Not available,Closed, ⋅ Opens 6 pm
13,Dadasaheb Phalke Chitranagari,Movie studio, 4.0 stars ,"Film City Rd, Film City Complex, Aarey Colony, Goregaon, Mumbai, Maharashtra 400065",['filmcitymumbai.org'],Not available,Open, ⋅ Closes 12 am
14,Click Art Museum,Tourist attraction, 4.8 stars ,"3WX8+RC8, R City Mall, Lal Bahadur Shastri Rd, Amrut Nagar, Ghatkopar West, Mumbai, Maharashtra 400086",[],Not available,Unavailable,Unavailable
15,Veermata Jijabai Bhosale Udyan And Zoo,Zoo, 3.8 stars ,"Railway Station, 91A, Lalbaug Flyover, near Byculla, Byculla East, Byculla, Mumbai, Maharashtra 400027",['mcgm.gov.in'],Not available,Unavailable,Unavailable
16,RBI Monetary Museum,Museum, 4.5 stars ,"AMAR BUILDING RBI, Ground Floor, Sir Phirozshah Mehta Rd, Fort, Mumbai, Maharashtra 400001",['rbi.org.in'],Not available,Open, ⋅ Closes 5:15 pm
17,Queen's Necklace - Marine Drive,Tourist attraction, 4.7 stars ,"WRJC+3QJ, Nariman Point, Mumbai, Maharashtra 400021",[],Not available,Unavailable,Open 24 hours
18,Rare Escape - Live Escape Game / Fun things to do in Lower Parel - west,Escape room center, 4.8 stars ,"1st floor, Mathuradas Mill Compound, DB house, Unit. - 4, Lower Parel West, Mumbai, Maharashtra 400013",['rareescape.in'],089766 20770,Open, ⋅ Closes 9:30 pm
19,Bollywood Tours,Tourist attraction, 3.8 stars ,"23, Manohardas Street, Opp CSTM Gpo Side, Borabazar Precinct, Ballard Estate, Fort, Mumbai, Maharashtra 400001","['bollywoodtours.in', 'bollywoodtours.in']",098202 55202,Open, ⋅ Closes 9:58 pm
20,Nehru Science Center,Tourist attraction, 4.3 stars ,"Jijamata Nagar, Worli, Mumbai, Maharashtra 400018",['nehrusciencecentre.gov.in'],Not available,Open, ⋅ Closes 6 pm
