,Name,activity_type,ratings,address,website/contact
0,"Timezone Phoenix Marketcity Kurla Lvl 1 - Bowling, Arcade Games & Party Venues",Amusement center, 4.3 stars ,"Phoenix Marketcity Mall, Lal Bahadur Shastri Rd, Kamani, Ashok Nagar, Junction, Mumbai, Maharashtra 400070",NULL
1,TIMEZONE - Arcade Gaming Zone in Mumbai,Amusement center, 4.3 stars ,"Oberoi Mall, 3rd Floor, Western Express Hwy, Yashodham, Goregaon, Mumbai, Maharashtra 400063",NULL
2,"Timezone R City Mall Ghatkopar - Arcade Games, VR & Prizes",Amusement center, 4.3 stars ,"Amrut Nagar Rd R City Mall, Ghatkopar West, Mumbai, Maharashtra 400086",NULL
3,"Timezone Inorbit Mall Malad - Bowling, Arcade Games & Kids Birthday Party Venue",Amusement center, 4.3 stars ,"Inorbit Rd, Malad, Mindspace, Goregaon West, Mumbai, Maharashtra 400104",NULL
4,The Game - Go Play Go Insane,Bowling alley, 4.2 stars ,"Atria-The Millennium Mall, The Game - 3rd Floor, Opp:, Dr Annie Besant Rd, Markandeshwar Nagar, Shiv Sagar Estate, Worli, Mumbai, Maharashtra 400018",NULL
5,Timezone,Amusement center, 4.1 stars ,"Unit T01, Western Express Hwy, Kandivali, Akurli Industry Estate, Kandivali East, Mumbai, Maharashtra 400101",NULL
6,Funzone,Video arcade, 3.3 stars ,"S-29, Patelwadi.Kurla, Kamani, Ashok Nagar, Saki Naka, Mumbai, Maharashtra 400072",NULL
7,"Timezone Korum Mall Thane - Arcade Games, Bumper Cars, Prize shop",Amusement center, 4.1 stars ,"Shahid Mangal Pandey Road Samata Nagar, Korum Mall, Mumbai, Maharashtra 400606",NULL
8,Smaaash | Sports Bar R-City,Bowling alley, 4.3 stars ,"R City Mall, 3rd Floor, Lal Bahadur Shastri Rd, Amrut Nagar, Ghatkopar West, Mumbai, Maharashtra 400086",NULL
9,SMAAASH UTOPIA CITY,Amusement center, 4.3 stars ,"Gate No 4, Trade View Building, Utopia City, Pandurang Budhkar Marg, Lower Parel, Mumbai, Maharashtra 400013",NULL
10,Hockey Game Zone,Video arcade,No rating available,"Shop No 2, Pratikhsha Nagar, Guru Teg Bahadur Nagar, Sion, Mumbai, Maharashtra 400022",NULL
11,Pandora,Video arcade, 4.5 stars ,"27 Mona shopping centre, JP Rd, Andheri West, Maharashtra 400058",NULL
12,Phoenix Gaming,Video arcade, 4.1 stars ,"32,Kakad Industrial Estate, Sitaram Keer Marg, VSNL Colony, Mahim, Mumbai, Maharashtra 400016",NULL
13,Time zone game zone,Children's amusement center, 3.6 stars ,"4RRJ+FCQ, Phase D, Shastri Nagar, Andheri West, Mumbai, Maharashtra 400053",NULL
14,Timezone Phoenix Palladium Lower Parel,Amusement center, 4.1 stars ,"3rd Floor, East Wing, Phoenix Palladium, Tulsi Pipe Rd, Lower Parel, Mumbai, Maharashtra 400013",NULL
15,Ankita Game Hub,Video arcade,No rating available,"Shop No 1, Bharat Nagar Rd, G Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051",NULL
16,District 13 The Gaming Zone,Game store, 4.4 stars ,"Shop No-20/E-wing, Sumit Samarth Arcade, Aarey Rd, behind Jain Mandir, Jawahar Nagar, Goregaon West, Mumbai, Maharashtra 400062",NULL
17,Gamerz Den,Video arcade, 4.4 stars ,"102 Nagpal House 35th road behind National College opp linkway hotel, Bandra East, Mumbai, Maharashtra 400050",NULL
18,The Game Palacio,Restaurant, 4.1 stars ,"G0001/B, Krystal Building 206, Below Hakkasan, Waterfield Road, Bandra West, Mumbai, Maharashtra 400050",NULL
19,PS4 club,Video arcade, 4.7 stars ,"Prime Mall, First floor, Irla Rd, opp. Alfa 1, Indira Nagar, Vile Parle West, Mumbai, Maharashtra 400047",NULL
20,Smart Gaming Zone,Game store,No rating available,"Dheeraj Sneh, 30th Cross Road, Dr Keshav Baliram Hedgewar Marg, Bandra West, Mumbai, Maharashtra 400050",NULL
21,"Timezone Inorbit Mall Vashi - Bowling, Arcade Games & Kids Birthday Party Venue",Amusement center, 4.3 stars ,"Inorbit Mall, 30A, Palm Beach Rd, Sector 30A, Vashi, Navi Mumbai, Maharashtra 400703",NULL
