,Name,activity_type,ratings,address,website,contact,Open/Closed,Time
0,"Timezone Phoenix Marketcity Kurla Lvl 1 - Bowling, Arcade Games & Party Venues",Amusement center, 4.3 stars ,"Phoenix Marketcity Mall, Lal Bahadur Shastri Rd, Kamani, Ashok Nagar, Junction, Mumbai, Maharashtra 400070",['timezonegames.com'],Not available,Open, ⋅ Closes 10 pm
1,SMAAASH UTOPIA CITY,Amusement center, 4.3 stars ,"Gate No 4, Trade View Building, Utopia City, Pandurang Budhkar Marg, Lower Parel, Mumbai, Maharashtra 400013",['smaaash.in'],099303 32525,Closed, ⋅ Opens 1 pm
2,TIMEZONE - Arcade Gaming Zone in Mumbai,Amusement center, 4.3 stars ,"Oberoi Mall, 3rd Floor, Western Express Hwy, Yashodham, Goregaon, Mumbai, Maharashtra 400063",['oberoimall.com'],Not available,Open, ⋅ Closes 11 pm
3,"Timezone R City Mall Ghatkopar - Arcade Games, VR & Prizes",Amusement center, 4.3 stars ,"Amrut Nagar Rd R City Mall, Ghatkopar West, Mumbai, Maharashtra 400086",['timezonegames.com'],Not available,Open, ⋅ Closes 8 pm
4,Timezone,Amusement center, 4.1 stars ,"Unit T01, Western Express Hwy, Kandivali, Akurli Industry Estate, Kandivali East, Mumbai, Maharashtra 400101",['timezonegames.com'],Not available,Open, ⋅ Closes 10 pm
5,"Timezone Inorbit Mall Malad - Bowling, Arcade Games & Kids Birthday Party Venue",Amusement center, 4.3 stars ,"Inorbit Rd, Malad, Mindspace, Goregaon West, Mumbai, Maharashtra 400104",['timezonegames.com'],Not available,Open, ⋅ Closes 9:30 pm
6,Time zone game zone,Children's amusement center, 3.6 stars ,"4RRJ+FCQ, Phase D, Shastri Nagar, Andheri West, Mumbai, Maharashtra 400053",['timezonegames.com'],Not available,Open, ⋅ Closes 10 pm
7,The Game - Go Play Go Insane,Bowling alley, 4.2 stars ,"Atria-The Millennium Mall, The Game - 3rd Floor, Opp:, Dr Annie Besant Rd, Markandeshwar Nagar, Shiv Sagar Estate, Worli, Mumbai, Maharashtra 400018",['thegamemumbai.com'],074004 40055,Unavailable,Unavailable
8,The Gaming Zone (DADAR),Video game store, 4.2 stars ,"MTNL Marg, OM Shiv Krupa Housing Socety C Wing Shop No1, Opp Prabhadevi Mtnl College Lane Dadar West, Mumbai, Maharashtra 400028",[],083559 75693,Unavailable,Open 24 hours
9,Smart Gaming Zone,Game store,No rating available,"Dheeraj Sneh, 30th Cross Road, Dr Keshav Baliram Hedgewar Marg, Bandra West, Mumbai, Maharashtra 400050",[],090810 92831,Unavailable,Open 24 hours
10,Hockey Game Zone,Video arcade,No rating available,"Shop No 2, Pratikhsha Nagar, Guru Teg Bahadur Nagar, Sion, Mumbai, Maharashtra 400022",[],079779 88305,Unavailable,Unavailable
11,Spark Gaming Zone,Video game store, 3.6 stars ,"2RC9+M29, Sonapur Lane, V B Worlikar Marg, Koliwada, Worli, Mumbai, Maharashtra 400030",[],095942 03646,Open, ⋅ Closes 10:30 pm
12,Game4me Gaming Zone,Video game store, 5.0 stars ,"Game4Me gaming zone Pereira compound, next to western oil agency, Vaishali Nagar, Jogeshwari West, Mumbai, Maharashtra 400102",[],Not available,Open, ⋅ Closes 10 pm
13,Play Station Game Zone,Video game store, 4.7 stars ,"Plot No. W, 30, Rd Number 4, Govandi Slums, Govandi West, Phase 1, Govandi East, Mumbai, Maharashtra 400043",[],Not available,Open, ⋅ Closes 10 pm
14,Woop Mumbai: India's Most Favourite Game Zone,Amusement center, 4.5 stars ,"Shreyas Industrial Estate, B - 62, SR 41A, 1st Floor, Off New Link Rd, next to Mongines cake factory, Andheri West, Mumbai, Maharashtra 400053",['woopindia.com'],070090 90940,Open, ⋅ Closes 11 pm
15,Oneup gaming zone,Video game store, 5.0 stars ,"Metro station, Asalpha Asalpha, Bhim Nagar, Saki Naka, Mumbai, Maharashtra 400084",[],Not available,Unavailable,Open 24 hours
16,Phoenix Gaming,Video arcade, 4.1 stars ,"32,Kakad Industrial Estate, Sitaram Keer Marg, VSNL Colony, Mahim, Mumbai, Maharashtra 400016",[],Not available,Open, ⋅ Closes 11 pm
17,GTX Gaming Zone,Internet cafe, 4.0 stars ,"Mukteshwar Ashram Rd, above Curry Culture Hotel, opp. I.I.T Market, Tirandaz, Powai, Mumbai, Maharashtra 400076",['facebook.com'],084248 90108,Unavailable,Open 24 hours
18,Fun City Come Play!,Children's amusement center, 4.2 stars ,"Infinity MAll, 10, New Link Rd, Phase D, Andheri West, Mumbai, Maharashtra 400102",[],Not available,Open, ⋅ Closes 8 pm
19,FIDATO CHEMBUR BEST GAMING AND PLAYHUB,Video game store, 4.5 stars ,"35, CG Rd, Jeevan Sangaram Nagar, Chembur Colony, Indira Nagar, Chembur, Mumbai, Maharashtra 400071",[],077381 64850,Open, ⋅ Closes 10 pm
20,Love Gaming Zone,Video game store, 4.1 stars ,"Shop No-61,V.Mall, Western Express Hwy, Kandivali East, Mumbai, Maharashtra 400101",[],070870 87380,Open, ⋅ Closes 11 pm
21,Vinod games Zone,Game store, 4.8 stars ,"101-A, Jeejabai Bhosle Marg, Dr.Babsaheb Ambedker Nagar, Govandi Dr.Babsaheb Ambedker Nagar, Govandi Mumbai, Maharashtra 400088",[],082684 17170,Open, ⋅ Closes 8 pm
