,Name,Type,Image Link,Discription,Link
0,Marine Drive,['Landmark'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Marine-Drive_0_417332_211_mumbai_218_168.jpg," Marine Drive, officially known as Netaji Subhash Chandra Bose Marg, is a 3 kilometre long boulevard which stretches from Nariman Point to Malabar Hills. It is an inverted 'C'-shaped six lane road in southern Mumbai, running along the coast of the Arabian Sea. Famed for a large number of Art ... ", //www.makemytrip.com/travel-guide/mumbai/marine-drive-landmarks.html 
1,Shree Siddhivinayak,"['Landmark', ' Religious']",//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg," Dedicated to Lord Siddhivinayak, a form of Lord Ganesha, Shree Siddhivinayak is one of Mumbai's holiest places. It is located strategically in Prabhadevi and is often frequented by Bollywood stars and other celebrities. It is believed that Ramakrishna Jambhekar Maharaj, a disciple of Hindu Saint Akkalkot Swami Samarth, buried two ... ", //www.makemytrip.com/travel-guide/mumbai/shree-siddhivinayak-religious.html 
2,Bandra Worli Sea Link,['Landmarks'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Bandra-Worli-Sea-Linkmumbai_417334_211_mumbai_218_168.jpg," Officially known as Rajiv Gandhi Sea Link, Bandra Worli Sea Link is an eight-lane cable-stayed bridge that links the regions of Bandra and Worli. It has pre-stressed concrete-steel viaducts on either side, which provide strength to it. The bridge is proposed to link the western suburbs of Mumbai with Nariman ... ", //www.makemytrip.com/travel-guide/mumbai/bandra-worli-sea-link-landmarks.html 
3,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,['Museum'],//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg," Earlier referred to as the Prince of Wales Museum of Western India, Chhatrapati Shivaji Maharaj Vastu Sangrahalaya (CSMVS) is one of the top cultural museums in India. The foundation stone of the museum was laid in 1905 by the Prince of Wales, and on 10th January, 1922, it was opened ... ", //www.makemytrip.com/travel-guide/mumbai/chhatrapati-shivaji-maharaj-vastu-sangrahalaya-museum.html 
4,Chhatrapati Shivaji Terminus,['Landmark'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Chhatrapati-Shivaji-Maharaj-Vastu-Sangrahalaya_Mumbai_417336_211_mumbai_218_168.jpg," Chhatrapati Shivaji Terminus, which was previously known as Victoria Terminus, is among the busiest railway stations in the country. An outstanding example of Victorian-Gothic architectural style, the railway station is a UNESCO World Heritage Site. This splendid edifice, designed by F. W. Stevens, was built in the year 1887 to ... ", //www.makemytrip.com/travel-guide/mumbai/chhatrapati-shivaji-terminus-landmarks.html 
5,Chowpatty Beach,['Beaches'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Chowpatty-Beach_Mumbai_417337_211_mumbai_218_168.jpg," One of Mumbai's star attractions, Chowpatty Beach is located on the northern side of Marine Drive. Officially known as Girgaum Chowpatty, this public beach serves as a favourite picnic spot among locals and tourists. Lapped by the waters of the Arabian Sea, this beach is perfect for spending moments of ... ", //www.makemytrip.com/travel-guide/mumbai/chowpatty-beach-beaches.html 
6,Gateway of India,"['Landmark', ' Monument']",//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Gateway-of-India_Mumbai_417338_211_mumbai_218_168.jpg," The Gateway of India is an emblematic landmark not only in Mumbai but in the entire country. Located on the southern part of the city, the gateway overlooks the splendid Arabian Sea. This magnificent edifice was constructed to memorialize King George V and Queen Mary's visit to India in 1911. ... ", //www.makemytrip.com/travel-guide/mumbai/gateway-of-india-monuments.html 
7,Hanging Gardens,['Park/Garden'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Hanging-Gardens_mumbai_417340_211_mumbai_218_168.jpg,, //www.makemytrip.com/travel-guide/mumbai/hanging-gardens-parks-gardens.html 
8,Mani Bhavan Gandhi Sangrahalaya,['Museum'],//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg," Mani Bhavan Gandhi Sangrahalaya is an old two-storey building, which serves as a museum and research centre. Formerly a house of Shri Revashankar Jagjeevan Jhaveri – a friend and host of Mahatma Gandhi, this place served as Gandhiji’s home whenever he visited Mumbai. It was from here that Gandhiji initiated ... ", //www.makemytrip.com/travel-guide/mumbai/mani-bhavan-gandhi-sangrahalaya-museum.html 
9,Mount Mary Church,['Religious'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Mount-Mary-Church-Mumbai_417342_211_mumbai_218_168.jpg,, //www.makemytrip.com/travel-guide/mumbai/mount-mary-church-religious.html 
10,Shivaji Park,['Park/Garden'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Shivaji-Park_417343_211_mumbai_218_168.jpg," One of the largest parks in Mumbai, Shivaji Park is situated in Dadar. A popular hub for political and social meetings, this park holds great historical and cultural significance since before India got independence. Named after the heroic leader- Chhatrapati Shivaji, this park was established by the Mumbai Municipal Corporation ... ", //www.makemytrip.com/travel-guide/mumbai/shivaji-park-parks-gardens.html 
11,Flora Fountain,['Landmarks'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Flora-Fountain_mumbai_417344_211_mumbai_218_168.jpg," Flora Fountain is a famous landmark that finds mention in the list of heritage structures across India. Western India’s Agri-Horticultural Society built it in 1864. It has been named after Flora – Roman Goddess of Flowers. In 1960, the Flora Fountain was renamed as Hutatma Chowk (Martyr's Square) in the ... ", //www.makemytrip.com/travel-guide/mumbai/flora-fountain-landmarks.html 
12,RBI Monetary Museum,['Museum'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/RBI-Monetary-Museum-mumbai_417345_211_mumbai_218_168.jpg," RBI Monetary Museum is a unique museum set up by the Reserve Bank of India (RBI) – the most important financial institution of the country. Dr. A.P.J. Abdul Kalam – the former President of India, inaugurated the museum in 2004. It aims at depicting the evolution of money in the ... ", //www.makemytrip.com/travel-guide/mumbai/rbi-monetary-museum-museum.html 
13,Versova Beach,['Beach'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Versova-Beach_mumbai_417346_211_mumbai_218_168.jpg," Versova Beach is a popular tourist spot in the suburbs of Andheri in Mumbai. This secluded seafront is an extension of the beautiful Juhu Beach, from which it is separated by a creek. The namesake village of this beach is known for being home to Kolis – a large fishing ... ", //www.makemytrip.com/travel-guide/mumbai/versova-beach-beaches.html 
14,Adlabs Imagica,['Theme Park'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Adlabs-Imagica_Mumbai_417347_211_mumbai_218_168.jpg," Adlabs Imagica is the latest addition to the seemingly endless list of entertainment hubs in Mumbai. Opened in April 2013, this theme park is gradually gaining popularity as a one-stop recreation centre in the city. It belongs to Adlabs Entertainment Limited, a renowned media firm owned by entrepreneur and film ... ", //www.makemytrip.com/travel-guide/mumbai/adlabs-imagica-theme-parks.html 
15,Aksa Beach,['Beach'],//www.makemytrip.com/travel-guide/media/dg_image/mumbai/thumb/Aksa-Beach_mumbai_417348_211_mumbai_218_168.jpg," About 27 kilometres from Mumbai city, Aksa Beach is a wonderful place to visit. The waterfront has the base of the Indian navy – INS Hamla on one end, and a small beach – Dana Paani on the other. The salubrious weather, gentle sea breeze and picturesque environs of this ... ", //www.makemytrip.com/travel-guide/mumbai/aksa-beach-beaches.html 
16,Gorai Beach,['Beach'],//imgak.mmtcdn.com/seo/travel-guide/media/image/master/not_available_icon.jpg," Gorai Beach lies near Monari Beach, adjacent to Gorai Creek. The calmness of this beach makes it an ideal place to enjoy moments of repose. You can enjoy a leisurely walk by the shoreline, indulge in swimming or just laze around and bask in the sun here. It is a ... ", //www.makemytrip.com/travel-guide/mumbai/gorai-beach-beaches.html 
